"id","code","name","city_id/id"
"res_city_sector_ICB","ICB","CALETA BUENA - IQUIQ","l10n_cl_fe.CL01101"
"res_city_sector_IMF","IMF","MINA FAKIR","l10n_cl_fe.CL01101"
"res_city_sector_IML","IML","MINA LOBOS","l10n_cl_fe.CL01101"
"res_city_sector_IPP","IPP","PUERTO PATILLOS","l10n_cl_fe.CL01101"
"res_city_sector_IQQ","IQQ","IQUIQUE","l10n_cl_fe.CL01101"
"res_city_sector_PQA","PQA","CHIPANA","l10n_cl_fe.CL01101"
"res_city_sector_QLB","QLB","PUNTA LOBOS","l10n_cl_fe.CL01101"
"res_city_sector_RFO","RFO","SAN MARCOS - IQUIQUE","l10n_cl_fe.CL01101"
"res_city_sector_RSC","RSC","RIO SECO","l10n_cl_fe.CL01101"
"res_city_sector_ZPL","ZPL","PLAYA BLANCA","l10n_cl_fe.CL01101"
"res_city_sector_AHP","AHP","ALTO HOSPICIO","l10n_cl_fe.CL01107"
"res_city_sector_IFB","IFB","FUERTE BAQUEDANO","l10n_cl_fe.CL01401"
"res_city_sector_IMA","IMA","MACAYA","l10n_cl_fe.CL01401"
"res_city_sector_IUJ","IUJ","TAMBILLO","l10n_cl_fe.CL01401"
"res_city_sector_LTI","LTI","LA TIRANA","l10n_cl_fe.CL01401"
"res_city_sector_MAN","MAN","MAMINA","l10n_cl_fe.CL01401"
"res_city_sector_PAM","PAM","POZO ALMONTE","l10n_cl_fe.CL01401"
"res_city_sector_CMN","CMN","CAMINA","l10n_cl_fe.CL01402"
"res_city_sector_CTA","CTA","CALATAMBO","l10n_cl_fe.CL01402"
"res_city_sector_IAL","IAL","ALTUZA","l10n_cl_fe.CL01402"
"res_city_sector_ICY","ICY","CHAPIQUITA","l10n_cl_fe.CL01402"
"res_city_sector_IVV","IVV","VILAVILA","l10n_cl_fe.CL01402"
"res_city_sector_NMA","NMA","NAMA","l10n_cl_fe.CL01402"
"res_city_sector_PIS","PIS","PISAGUA","l10n_cl_fe.CL01402"
"res_city_sector_PJR","PJR","ALPAJERES","l10n_cl_fe.CL01402"
"res_city_sector_PKA","PKA","PALCA","l10n_cl_fe.CL01402"
"res_city_sector_QCR","QCR","CORSA","l10n_cl_fe.CL01402"
"res_city_sector_RTA","RTA","CARITAYA","l10n_cl_fe.CL01402"
"res_city_sector_ANG","ANG","ANAGUANI","l10n_cl_fe.CL01403"
"res_city_sector_ANQ","ANQ","ANCUAQUE","l10n_cl_fe.CL01403"
"res_city_sector_COE","COE","COLCHANE","l10n_cl_fe.CL01403"
"res_city_sector_CVT","CVT","ANCOVINTO","l10n_cl_fe.CL01403"
"res_city_sector_ICI","ICI","CHIAPA","l10n_cl_fe.CL01403"
"res_city_sector_ICQ","ICQ","CARIQUIMA","l10n_cl_fe.CL01403"
"res_city_sector_IIS","IIS","ISLUGA","l10n_cl_fe.CL01403"
"res_city_sector_MCL","MCL","MOCOMUCANE","l10n_cl_fe.CL01403"
"res_city_sector_QEP","QEP","ENQUELGA","l10n_cl_fe.CL01403"
"res_city_sector_STA","STA","SOTOCA","l10n_cl_fe.CL01403"
"res_city_sector_HRA","HRA","HUARA","l10n_cl_fe.CL01404"
"res_city_sector_ICA","ICA","CHUSMISA","l10n_cl_fe.CL01404"
"res_city_sector_ICO","ICO","CANCOSA","l10n_cl_fe.CL01404"
"res_city_sector_ILI","ILI","LIRIMA","l10n_cl_fe.CL01404"
"res_city_sector_IMO","IMO","MOCHA","l10n_cl_fe.CL01404"
"res_city_sector_IPH","IPH","PACHICA","l10n_cl_fe.CL01404"
"res_city_sector_ITP","ITP","TARAPACA","l10n_cl_fe.CL01404"
"res_city_sector_QLG","QLG","COLLACAGUA","l10n_cl_fe.CL01404"
"res_city_sector_QPR","QPR","POROMA","l10n_cl_fe.CL01404"
"res_city_sector_BQM","BQM","MINERA QUEBRADA BLAN","l10n_cl_fe.CL01405"
"res_city_sector_CLH","CLH","COLLAHUASI","l10n_cl_fe.CL01405"
"res_city_sector_ICP","ICP","COLONIA PINTADOS","l10n_cl_fe.CL01405"
"res_city_sector_IOV","IOV","OFICINA VICTORIA","l10n_cl_fe.CL01405"
"res_city_sector_LGC","LGC","LA HUAICA","l10n_cl_fe.CL01405"
"res_city_sector_MTA","MTA","MATILLA","l10n_cl_fe.CL01405"
"res_city_sector_OPC","OPC","PICA","l10n_cl_fe.CL01405"
"res_city_sector_PQU","PQU","PUQUIOS - IQUIQUE","l10n_cl_fe.CL01405"
"res_city_sector_ZRC","ZRC","GUATACONDO","l10n_cl_fe.CL01405"
"res_city_sector_AAV","AAV","AGUA VERDE","l10n_cl_fe.CL02101"
"res_city_sector_ABL","ABL","BLANCO ENCALADA","l10n_cl_fe.CL02101"
"res_city_sector_ACM","ACM","CERRO MORENO","l10n_cl_fe.CL02101"
"res_city_sector_AEB","AEB","ESTACION AGUA BUENA","l10n_cl_fe.CL02101"
"res_city_sector_AEC","AEC","ESTACION CATALINA","l10n_cl_fe.CL02101"
"res_city_sector_AEE","AEE","CALETA EL COBRE","l10n_cl_fe.CL02101"
"res_city_sector_AEG","AEG","EL GUANACO","l10n_cl_fe.CL02101"
"res_city_sector_AEH","AEH","ESTACION O`HIGGINS","l10n_cl_fe.CL02101"
"res_city_sector_AEJ","AEJ","ESTACION LA RIOJA","l10n_cl_fe.CL02101"
"res_city_sector_AEL","AEL","ESTACION LOS VIENTOS","l10n_cl_fe.CL02101"
"res_city_sector_AEM","AEM","EL MEDANO","l10n_cl_fe.CL02101"
"res_city_sector_AEO","AEO","ENSUENO","l10n_cl_fe.CL02101"
"res_city_sector_AEV","AEV","ESTACION AUGUSTA VIC","l10n_cl_fe.CL02101"
"res_city_sector_AEW","AEW","EL WAY","l10n_cl_fe.CL02101"
"res_city_sector_AGC","AGC","ESTACION AGUAS BLANC","l10n_cl_fe.CL02101"
"res_city_sector_AJJ","AJJ","CALETA BOTIJA","l10n_cl_fe.CL02101"
"res_city_sector_AJL","AJL","JUAN LOPEZ","l10n_cl_fe.CL02101"
"res_city_sector_AMQ","AMQ","ESTACION MONTURAQUI","l10n_cl_fe.CL02101"
"res_city_sector_ANF","ANF","ANTOFAGASTA","l10n_cl_fe.CL02101"
"res_city_sector_APC","APC","PUERTO COLOSO","l10n_cl_fe.CL02101"
"res_city_sector_APE","APE","ESTACION PALESTINA","l10n_cl_fe.CL02101"
"res_city_sector_APP","APP","PAPOSO","l10n_cl_fe.CL02101"
"res_city_sector_APZ","APZ","ESTACION PAN DE AZUC","l10n_cl_fe.CL02101"
"res_city_sector_ASC","ASC","SAN CRISTOBAL","l10n_cl_fe.CL02101"
"res_city_sector_ATM","ATM","AZUFRERA PLATO DE SO","l10n_cl_fe.CL02101"
"res_city_sector_AVE","AVE","ESTACION VARILLA","l10n_cl_fe.CL02101"
"res_city_sector_AXA","AXA","EX OFICINA ALEMANIA","l10n_cl_fe.CL02101"
"res_city_sector_AXC","AXC","EX OFICINA CHILE","l10n_cl_fe.CL02101"
"res_city_sector_AXF","AXF","EX OFICINA FLOR DE C","l10n_cl_fe.CL02101"
"res_city_sector_AZF","AZF","AZUFRERA","l10n_cl_fe.CL02101"
"res_city_sector_BQO","BQO","BAQUEDANO","l10n_cl_fe.CL02101"
"res_city_sector_CIN","CIN","CARMEN ALTO","l10n_cl_fe.CL02101"
"res_city_sector_CPL","CPL","CERRO PARANAL","l10n_cl_fe.CL02101"
"res_city_sector_ESA","ESA","ESTACION SOCOMPA","l10n_cl_fe.CL02101"
"res_city_sector_LNA","LNA","LA NEGRA","l10n_cl_fe.CL02101"
"res_city_sector_MIN","MIN","MINA LOMAS BAYAS","l10n_cl_fe.CL02101"
"res_city_sector_MTB","MTB","MANTOS BLANCOS","l10n_cl_fe.CL02101"
"res_city_sector_PRL","PRL","PARANAL","l10n_cl_fe.CL02101"
"res_city_sector_RAN","RAN","RANCHO ANTOFAGASTA","l10n_cl_fe.CL02101"
"res_city_sector_ZSM","ZSM","ISLA SANTA MARIA","l10n_cl_fe.CL02101"
